íj,,,,,,,,àÆãuÇPíöñ⁄,àÆãuÇQíöñ⁄,è¨í|í¨ÇPíöñ⁄,è¨í|í¨ÇQíöñ⁄,âhí¨,âHëÚÇPíöñ⁄,âHëÚÇQíöñ⁄,âHëÚÇRíöñ⁄,ñLã è„ÇPíöñ⁄,ñLã è„ÇQíöñ⁄,ñLã íÜÇPíöñ⁄,ñLã íÜÇQíöñ⁄,ñLã íÜÇRíöñ⁄,ñLã íÜÇSíöñ⁄,ñLã ìÏÇPíöñ⁄,ñLã ìÏÇQíöñ⁄,ñLã ìÏÇRíöñ⁄,ñLã ñkÇPíöñ⁄,ñLã ñkÇQíöñ⁄,ñLã ñkÇRíöñ⁄,ñLã ñkÇSíöñ⁄,ñLã ñkÇTíöñ⁄,ñLã ñkÇUíöñ⁄,íÜë∫ÇPíöñ⁄,íÜë∫ÇQíöñ⁄,íÜë∫ÇRíöñ⁄,íÜë∫ìÏÇPíöñ⁄,íÜë∫ìÏÇQíöñ⁄,íÜë∫ìÏÇRíöñ⁄,íÜë∫ñkÇPíöñ⁄,íÜë∫ñkÇQíöñ⁄,íÜë∫ñkÇRíöñ⁄,íÜë∫ñkÇSíöñ⁄,ç˜ë‰ÇPíöñ⁄,ç˜ë‰ÇQíöñ⁄,ç˜ë‰ÇRíöñ⁄,ç˜ë‰ÇSíöñ⁄,ç˜ë‰ÇTíöñ⁄,ç˜ë‰ÇUíöñ⁄,ó˚înÇPíöñ⁄,ó˚înÇQíöñ⁄,ó˚înÇRíöñ⁄,ó˚înÇSíöñ⁄,å¸éRÇPíöñ⁄,å¸éRÇQíöñ⁄,å¸éRÇRíöñ⁄,å¸éRÇSíöñ⁄,ä—à‰ÇPíöñ⁄,ä—à‰ÇQíöñ⁄,ä—à‰ÇRíöñ⁄,ä—à‰ÇSíöñ⁄,ä—à‰ÇTíöñ⁄,ã—ÇPíöñ⁄,ã—ÇQíöñ⁄,ïXêÏë‰ÇPíöñ⁄,ïXêÏë‰ÇQíöñ⁄,ïXêÏë‰ÇRíöñ⁄,ïXêÏë‰ÇSíöñ⁄,ïΩòaë‰ÇPíöñ⁄,ïΩòaë‰ÇQíöñ⁄,ïΩòaë‰ÇRíöñ⁄,ïΩòaë‰ÇSíöñ⁄,ëÅã{ÇPíöñ⁄,ëÅã{ÇQíöñ⁄,ëÅã{ÇRíöñ⁄,ëÅã{ÇSíöñ⁄,ètì˙í¨ÇPíöñ⁄,ètì˙í¨ÇQíöñ⁄,ètì˙í¨ÇRíöñ⁄,ètì˙í¨ÇSíöñ⁄,ètì˙í¨ÇTíöñ⁄,ètì˙í¨ÇUíöñ⁄,çÇèºÇPíöñ⁄,çÇèºÇQíöñ⁄,çÇèºÇRíöñ⁄,çÇèºÇSíöñ⁄,çÇèºÇTíöñ⁄,çÇèºÇUíöñ⁄,ñkí¨ÇPíöñ⁄,ñkí¨ÇQíöñ⁄,ñkí¨ÇRíöñ⁄,ñkí¨ÇSíöñ⁄,ñkí¨ÇTíöñ⁄,ñkí¨ÇUíöñ⁄,ñkí¨ÇVíöñ⁄,ñkí¨ÇWíöñ⁄,ìcïøÇPíöñ⁄,ìcïøÇQíöñ⁄,ìcïøÇRíöñ⁄,ìcïøÇSíöñ⁄,ìcïøÇTíöñ⁄,åıÇ™ãuÇPíöñ⁄,åıÇ™ãuÇQíöñ⁄,åıÇ™ãuÇRíöñ⁄,åıÇ™ãuÇSíöñ⁄,åıÇ™ãuÇTíöñ⁄,åıÇ™ãuÇUíöñ⁄,åıÇ™ãuÇVíöñ⁄,àÆí¨ÇPíöñ⁄,àÆí¨ÇQíöñ⁄,àÆí¨ÇRíöñ⁄,ìyéxìcÇPíöñ⁄,ìyéxìcÇQíöñ⁄,ìyéxìcÇRíöñ⁄,ìyéxìcÇSíöñ⁄,ïxémå©ë‰ÇPíöñ⁄,ïxémå©ë‰ÇQíöñ⁄,ïxémå©ë‰ÇRíöñ⁄,ïxémå©ë‰ÇSíöñ⁄,ìÏìcíÜÇPíöñ⁄,ìÏìcíÜÇQíöñ⁄,ìÏìcíÜÇRíöñ⁄,ìÏìcíÜÇSíöñ⁄,ìÏìcíÜÇTíöñ⁄,çÇñÏë‰ÇPíöñ⁄,çÇñÏë‰ÇQíöñ⁄,çÇñÏë‰ÇRíöñ⁄,çÇñÏë‰ÇSíöñ⁄,çÇñÏë‰ÇTíöñ⁄,íJå¥ÇPíöñ⁄,íJå¥ÇQíöñ⁄,íJå¥ÇRíöñ⁄,íJå¥ÇSíöñ⁄,íJå¥ÇTíöñ⁄,íJå¥ÇUíöñ⁄,éOå¥ë‰ÇPíöñ⁄,éOå¥ë‰ÇQíöñ⁄,éOå¥ë‰ÇRíöñ⁄,êŒê_à‰í¨ÇPíöñ⁄,êŒê_à‰í¨ÇQíöñ⁄,êŒê_à‰í¨ÇRíöñ⁄,êŒê_à‰í¨ÇSíöñ⁄,êŒê_à‰í¨ÇTíöñ⁄,êŒê_à‰í¨ÇUíöñ⁄,êŒê_à‰í¨ÇVíöñ⁄,êŒê_à‰í¨ÇWíöñ⁄,êŒê_à‰ë‰ÇPíöñ⁄,êŒê_à‰ë‰ÇQíöñ⁄,êŒê_à‰ë‰ÇRíöñ⁄,êŒê_à‰ë‰ÇSíöñ⁄,êŒê_à‰ë‰ÇTíöñ⁄,êŒê_à‰ë‰ÇUíöñ⁄,êŒê_à‰ë‰ÇVíöñ⁄,êŒê_à‰ë‰ÇWíöñ⁄,â∫êŒê_à‰ÇPíöñ⁄,â∫êŒê_à‰ÇQíöñ⁄,â∫êŒê_à‰ÇRíöñ⁄,â∫êŒê_à‰ÇSíöñ⁄,â∫êŒê_à‰ÇTíöñ⁄,â∫êŒê_à‰ÇUíöñ⁄,ìåëÂêÚÇPíöñ⁄,ìåëÂêÚÇQíöñ⁄,ìåëÂêÚÇRíöñ⁄,ìåëÂêÚÇSíöñ⁄,ìåëÂêÚÇTíöñ⁄,ìåëÂêÚÇUíöñ⁄,ìåëÂêÚÇVíöñ⁄,êºëÂêÚÇPíöñ⁄,êºëÂêÚÇQíöñ⁄,êºëÂêÚÇRíöñ⁄,êºëÂêÚÇSíöñ⁄,êºëÂêÚÇTíöñ⁄,êºëÂêÚÇUíöñ⁄,ìÏëÂêÚÇPíöñ⁄,ìÏëÂêÚÇQíöñ⁄,ìÏëÂêÚÇRíöñ⁄,ìÏëÂêÚÇSíöñ⁄,ìÏëÂêÚÇTíöñ⁄,ìÏëÂêÚÇUíöñ⁄,ëÂêÚí¨ÇPíöñ⁄,ëÂêÚí¨ÇQíöñ⁄,ëÂêÚí¨ÇRíöñ⁄,ëÂêÚí¨ÇSíöñ⁄,ëÂêÚí¨ÇTíöñ⁄,ëÂêÚí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇPíöñ⁄,ëÂêÚäwâÄí¨ÇQíöñ⁄,ëÂêÚäwâÄí¨ÇRíöñ⁄,ëÂêÚäwâÄí¨ÇSíöñ⁄,ëÂêÚäwâÄí¨ÇTíöñ⁄,ëÂêÚäwâÄí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇVíöñ⁄,ëÂêÚäwâÄí¨ÇWíöñ⁄,ëÂêÚäwâÄí¨ÇXíöñ⁄,ä÷í¨ñkÇPíöñ⁄,ä÷í¨ñkÇQíöñ⁄,ä÷í¨ñkÇRíöñ⁄,ä÷í¨ñkÇSíöñ⁄,ä÷í¨ñkÇTíöñ⁄,ä÷í¨ìÏÇPíöñ⁄,ä÷í¨ìÏÇQíöñ⁄,ä÷í¨ìÏÇRíöñ⁄,ä÷í¨ìÏÇSíöñ⁄,è„êŒê_à‰ìÏí¨,óßñÏí¨,è„êŒê_à‰ÇPíöñ⁄,è„êŒê_à‰ÇQíöñ⁄,è„êŒê_à‰ÇRíöñ⁄,è„êŒê_à‰ÇSíöñ⁄,ä÷í¨ìåÇPíöñ⁄,ä÷í¨ìåÇQíöñ⁄,êºëÂêÚí¨
20,,14,12,-,,14,1,18,10,16,14,19,6,13,9,2,11,10,14,11,10,9,7,21,11,17,9,16,7,11,11,20,16,27,34,12,16,11,6,10,15,15,15,13,18,9,10,7,11,16,6,14,13,26,16,10,27,27,8,21,22,2,19,22,32,23,12,30,19,23,23,22,20,23,24,13,31,24,23,17,14,25,25,14,14,29,25,20,66,10,13,20,13,24,34,34,30,15,4,18,36,0,13,7,19,13,23,17,11,13,30,15,16,12,22,29,16,6,8,18,18,23,17,14,11,13,9,7,6,19,14,13,28,15,12,9,17,20,11,5,13,14,26,10,33,32,18,21,14,40,22,15,11,14,10,10,17,16,37,16,13,23,18,34,28,15,18,27,21,14,29,24,35,38,23,12,42,26,31,30,8,9,21,18,18,28,29,34,22,28,0,21,29,24,26,32,6,20,12,41,7,28,35,19,23,28,19,8,0
21,,13,12,-,,13,1,27,7,22,23,17,8,20,9,14,17,9,17,15,9,15,6,31,11,18,8,9,13,11,9,21,26,32,24,19,13,16,3,14,28,17,32,10,18,13,15,14,14,22,7,12,15,23,22,12,33,23,9,18,12,2,13,22,22,22,16,16,39,43,17,18,19,29,24,16,17,18,17,20,11,22,25,20,16,23,28,16,67,14,10,15,9,30,38,23,41,17,3,29,30,0,19,3,15,27,29,31,24,9,28,22,18,19,25,23,16,10,14,22,8,14,16,13,14,17,11,10,13,5,17,9,20,19,18,3,24,15,15,6,21,21,21,5,19,43,21,30,17,36,23,16,26,12,30,9,20,20,26,25,7,17,36,29,21,13,23,21,23,13,22,25,25,30,14,14,27,25,21,24,4,13,12,21,25,18,34,29,23,19,1,19,22,29,17,43,13,25,17,45,13,24,25,16,26,18,28,12,0
22,,12,12,-,,12,1,35,20,29,22,34,9,21,12,10,15,18,20,15,7,14,15,26,9,18,18,19,22,18,11,26,15,17,26,18,16,19,4,12,36,20,29,21,27,10,18,11,19,15,13,21,24,29,9,16,29,18,4,25,17,0,14,33,48,25,20,43,18,40,29,31,27,27,32,19,26,29,18,14,11,24,15,12,11,32,23,20,83,21,13,25,24,42,32,31,32,30,5,41,31,0,15,2,25,17,33,21,24,12,24,17,18,27,24,18,10,9,15,15,8,18,16,18,17,7,15,11,15,14,11,17,28,14,16,15,22,16,18,4,9,21,19,8,25,30,16,19,17,37,19,12,18,17,27,16,25,19,29,23,22,21,34,31,22,15,25,21,28,17,31,20,29,35,26,10,29,22,23,21,15,14,17,13,18,24,26,27,25,27,0,18,21,29,16,44,4,27,14,39,12,29,49,17,23,21,19,13,0
23,,11,12,-,,11,1,29,20,33,37,17,10,21,5,13,43,23,23,14,13,18,13,30,16,27,26,38,20,22,18,20,23,32,36,12,15,12,12,12,39,28,40,32,30,18,35,19,26,24,5,11,9,27,15,14,38,21,13,23,13,2,10,33,41,26,18,27,16,45,35,30,37,47,41,36,35,22,23,17,10,17,24,19,20,38,34,21,75,22,14,20,16,36,53,34,47,21,3,19,33,0,12,3,22,23,32,40,16,11,27,17,16,25,30,28,20,14,18,22,6,14,17,16,11,16,12,10,6,12,16,10,22,13,21,6,20,15,19,13,15,27,24,9,23,36,24,21,14,35,22,23,22,10,33,17,9,22,34,20,20,22,32,45,17,12,19,21,20,18,29,21,26,39,29,7,31,19,25,24,17,6,21,24,20,34,25,22,28,21,0,26,37,34,20,36,14,28,24,36,21,33,47,32,15,27,22,13,0
24,,10,12,-,,10,1,40,21,35,45,25,13,20,12,16,30,15,39,30,9,21,21,22,14,37,41,44,31,28,16,24,14,21,38,23,30,18,13,17,56,32,44,28,33,22,59,15,34,24,7,16,13,21,22,32,44,20,17,32,15,2,16,40,32,23,28,45,15,42,27,36,27,31,38,25,30,32,27,25,15,20,21,25,15,35,35,20,61,18,24,24,22,36,56,29,38,29,12,28,20,0,9,2,28,20,49,44,19,19,24,14,28,31,34,26,13,11,17,21,11,14,16,11,22,16,18,7,7,7,11,14,25,16,17,10,27,20,18,8,20,19,26,8,26,45,28,22,8,29,21,16,20,10,24,22,22,23,19,21,30,25,39,41,16,10,17,15,25,12,26,26,22,49,24,13,28,25,28,22,13,12,15,18,11,29,23,26,23,19,0,43,40,32,28,42,20,26,30,27,14,30,64,41,30,42,28,16,0
25,,9,12,-,,9,1,54,21,32,47,25,12,25,9,25,32,14,47,32,3,15,13,31,22,37,51,48,35,32,12,13,39,27,45,20,29,18,19,17,30,29,45,30,31,25,38,25,40,27,11,17,11,24,31,32,33,28,17,22,9,0,19,48,42,26,22,28,23,49,31,25,26,34,38,28,27,28,40,22,20,23,18,26,27,50,36,34,63,22,19,28,32,31,50,32,44,37,11,12,19,0,8,3,15,18,31,42,17,11,19,15,15,23,23,23,16,20,17,19,11,14,17,15,16,16,10,8,9,10,16,11,20,16,13,14,35,15,20,8,14,33,22,10,29,36,31,24,10,41,18,13,18,10,20,21,22,19,26,31,28,25,41,30,25,15,14,17,21,12,30,33,32,35,20,9,30,18,12,16,11,11,13,27,14,22,18,16,22,14,0,52,41,25,33,39,13,26,29,37,13,30,60,29,19,37,31,24,0
26,,8,12,-,,8,1,47,27,47,44,38,12,29,13,24,41,23,31,37,10,17,13,34,26,25,42,45,28,29,10,23,26,38,33,18,30,34,20,10,63,45,28,34,17,20,50,22,32,32,11,26,18,24,32,29,36,20,21,22,11,2,16,52,48,27,18,29,24,48,23,27,38,41,28,29,29,33,31,23,11,13,21,30,19,54,27,25,49,27,23,21,31,43,46,38,38,29,3,11,33,0,11,3,13,11,37,36,30,12,22,7,15,41,26,18,17,13,17,27,14,20,22,26,20,18,13,5,10,12,15,14,27,10,12,7,42,23,16,14,16,29,26,5,17,37,20,17,16,36,16,10,20,13,40,20,14,18,21,26,18,20,28,29,22,12,21,13,15,16,31,35,26,33,37,9,24,20,21,13,7,20,18,22,13,22,19,24,22,15,0,44,36,35,29,32,23,26,26,39,11,23,54,24,30,35,30,21,0
27,,7,12,-,,7,1,58,23,62,36,36,18,25,13,32,42,19,31,31,9,17,11,21,27,38,47,41,40,32,17,24,26,37,33,21,33,23,17,26,55,35,34,34,27,35,48,18,40,30,15,13,23,35,34,34,29,40,15,19,12,1,24,41,47,23,25,21,19,52,27,27,38,44,32,26,23,25,35,28,14,12,22,25,28,45,39,30,40,23,26,23,33,37,55,30,43,26,8,24,26,0,7,0,15,27,37,40,23,14,16,15,16,28,33,22,17,22,11,15,9,13,21,20,22,14,11,5,8,5,9,11,11,14,17,15,21,25,25,10,16,20,15,6,29,50,23,23,15,26,20,9,12,13,29,17,16,28,21,31,23,29,47,30,20,4,20,12,18,13,17,14,31,41,30,9,32,19,15,17,7,7,12,37,11,14,18,16,15,19,0,30,39,37,24,22,15,25,29,38,13,25,58,33,23,45,21,20,0
28,,6,12,-,,6,1,54,17,42,37,26,15,39,14,24,52,23,42,39,5,21,12,34,28,26,51,47,57,44,13,18,20,40,46,33,39,22,15,22,43,36,41,26,22,29,38,26,47,32,11,18,17,23,25,45,35,28,23,25,10,1,24,42,36,23,31,35,22,45,38,23,26,31,45,27,34,22,38,35,17,15,20,30,21,45,37,31,31,22,24,35,38,31,64,32,39,38,13,12,32,0,12,3,11,27,43,40,23,9,19,17,10,37,26,29,23,16,26,17,12,12,20,16,16,16,11,5,15,7,14,4,19,9,22,12,27,28,27,14,13,22,18,1,25,34,14,16,18,33,20,13,19,17,16,17,18,32,27,44,21,20,54,26,22,12,19,12,23,11,30,19,34,23,31,10,40,13,18,15,10,5,13,33,17,24,8,21,33,26,0,28,51,43,27,31,20,26,23,27,19,27,55,47,30,33,42,15,0
29,,5,12,-,,5,1,72,22,55,35,35,10,26,13,25,46,20,35,46,5,12,11,30,20,16,25,47,42,31,15,17,24,26,31,20,25,20,17,19,54,33,38,29,26,15,35,27,49,29,14,13,15,18,21,37,36,26,15,23,21,2,14,44,39,27,30,26,37,54,35,32,34,42,29,27,27,31,35,23,12,15,21,32,23,35,44,33,19,25,25,26,23,37,61,31,41,31,7,22,19,0,11,1,20,21,28,37,20,19,22,14,17,24,24,25,19,11,20,18,10,17,13,16,16,26,17,12,8,4,10,9,25,9,21,6,31,32,24,13,15,31,23,7,14,28,15,14,16,25,16,10,17,8,25,13,22,22,36,29,22,18,39,25,20,12,19,13,25,11,15,25,36,43,26,10,21,16,24,13,13,14,19,30,17,20,11,24,18,16,1,45,44,21,27,22,18,24,22,25,12,17,49,28,28,32,25,15,0
30,,4,12,-,,4,1,52,22,52,50,31,12,27,20,25,42,23,55,33,2,12,16,29,26,23,38,46,47,27,10,27,22,34,44,16,25,27,17,20,49,45,30,35,32,25,44,25,44,42,10,23,17,26,26,47,47,29,22,27,19,0,19,40,34,25,25,44,27,34,32,30,30,39,33,39,28,39,19,25,18,10,17,28,17,36,33,26,20,18,25,34,35,30,53,36,42,23,15,19,26,0,8,1,19,31,28,40,16,11,24,13,11,35,21,28,11,10,10,16,12,10,25,20,19,17,14,8,3,4,19,13,13,10,13,10,25,21,18,21,20,31,22,5,29,34,23,17,13,28,17,15,14,10,31,21,17,29,27,24,13,18,43,30,16,9,13,24,22,15,21,25,34,28,42,10,27,25,17,15,12,12,16,23,12,15,16,19,17,20,0,23,25,29,24,26,15,12,21,20,20,21,44,36,22,35,26,13,1
31,,3,12,-,,3,1,50,22,50,47,46,12,30,10,23,38,24,33,25,13,12,9,32,26,20,30,49,44,22,16,17,27,29,34,23,25,26,19,22,38,24,27,28,28,24,45,14,45,31,11,17,13,19,29,37,36,29,19,19,15,0,17,61,39,17,22,37,22,35,41,25,28,39,38,26,38,21,36,22,13,13,27,23,24,50,45,39,23,17,23,31,29,35,75,31,53,30,17,15,29,0,10,4,24,26,26,28,29,26,18,16,13,27,21,29,9,9,13,17,10,18,18,19,27,17,17,9,9,9,27,9,17,12,21,15,33,21,21,13,14,22,28,7,20,28,17,23,12,37,20,16,15,19,23,23,24,41,35,23,21,27,37,30,33,12,11,13,22,17,23,28,47,46,33,15,24,19,10,16,13,12,11,36,12,22,15,17,15,18,0,29,41,23,30,30,24,18,30,36,13,26,55,30,22,32,31,19,0
32,,2,12,-,,2,1,45,20,46,35,36,13,33,12,26,34,11,31,26,18,15,12,41,21,18,24,45,38,15,13,11,27,32,26,27,31,28,23,27,39,49,26,32,23,22,44,19,37,26,13,24,13,27,33,37,39,19,18,24,13,0,14,40,35,17,19,30,27,35,41,29,28,42,17,17,25,27,39,23,22,20,21,25,21,44,49,30,11,18,23,30,23,31,43,33,51,34,8,15,27,0,18,2,27,22,23,35,31,19,23,15,15,22,37,20,15,17,9,12,6,26,23,12,16,20,26,16,8,5,22,6,24,12,19,13,43,33,17,8,19,31,14,8,31,31,22,24,15,30,23,19,11,16,20,24,22,27,49,26,14,27,40,21,27,10,16,9,17,11,27,32,28,34,27,7,25,17,9,14,14,11,18,19,17,13,19,21,24,11,1,33,29,14,40,29,15,22,28,42,9,30,45,32,26,31,33,10,0
33,,1,12,-,S,64,1,38,12,49,31,24,15,28,11,18,31,16,38,25,12,13,13,27,16,21,31,46,39,30,10,21,23,36,33,19,36,28,17,21,54,39,32,31,28,28,34,16,40,21,9,21,16,22,29,43,28,35,27,34,17,0,19,52,36,18,13,33,29,36,38,26,26,28,28,26,32,32,24,26,21,22,32,26,25,40,44,32,12,25,18,26,30,32,53,29,48,32,11,21,30,0,13,2,24,36,22,27,31,24,17,16,16,35,33,18,15,16,17,23,9,25,23,18,20,16,15,12,11,15,17,9,18,10,19,12,33,30,23,12,14,23,25,9,31,25,19,28,14,26,20,15,22,15,19,17,21,26,44,36,19,16,32,31,31,15,20,13,20,10,35,26,32,38,26,5,24,24,18,15,14,15,16,21,18,19,17,19,22,16,1,32,28,24,30,20,17,28,19,38,6,27,32,35,20,32,28,13,0
34,S,63,12,-,,63,1,41,20,44,32,25,11,28,10,16,35,23,22,31,17,16,7,32,24,16,26,44,39,24,10,25,26,37,33,18,26,19,14,20,37,31,26,26,24,26,44,17,41,28,10,23,23,32,31,38,42,34,14,26,20,4,24,37,34,25,18,24,24,44,28,46,38,39,26,28,34,32,26,14,29,18,16,24,20,39,62,36,14,17,20,35,26,28,45,34,43,38,21,16,50,0,19,7,31,33,36,40,20,27,18,19,15,23,28,28,10,14,16,13,10,21,24,7,21,24,20,9,7,10,30,9,24,9,18,15,53,29,19,14,24,23,27,8,23,30,29,20,12,23,25,11,20,14,26,17,23,24,30,45,21,27,46,32,25,11,23,16,24,19,26,21,20,45,25,5,23,19,16,14,11,11,18,23,21,13,20,27,29,28,0,21,25,22,27,31,16,25,29,39,13,26,30,30,25,39,23,14,0
35,,62,12,-,,62,1,58,21,45,34,22,10,19,23,13,20,12,16,31,23,18,12,28,15,25,32,35,45,23,18,19,28,23,36,24,21,34,12,17,44,43,32,30,43,20,41,28,42,18,13,19,18,25,30,48,32,34,21,26,24,0,24,46,23,20,16,41,20,34,32,35,35,37,34,30,19,45,36,23,23,20,20,22,25,38,52,39,5,18,26,17,24,32,56,44,48,30,19,20,41,0,21,8,37,28,36,19,17,28,23,21,13,21,28,25,20,11,16,19,13,14,20,14,18,26,26,8,12,19,27,9,15,11,18,24,23,28,21,13,28,20,21,3,35,27,34,20,19,22,22,15,23,9,25,21,20,24,32,30,23,18,40,29,20,9,18,13,17,12,26,21,34,45,22,6,28,21,12,12,12,15,10,30,24,15,18,26,17,23,0,29,35,27,27,31,21,27,40,57,19,26,31,39,31,38,30,14,0
36,,61,12,-,,61,1,40,24,40,41,31,8,23,15,18,41,22,25,24,19,16,17,34,19,20,32,37,40,26,23,19,27,31,22,19,27,15,12,17,39,46,30,21,25,27,28,26,40,26,12,17,12,31,38,39,25,37,24,29,13,1,19,50,26,25,17,28,20,34,35,29,34,35,30,27,20,25,40,15,19,18,26,23,25,48,48,23,8,15,23,12,24,32,40,36,55,36,22,19,45,0,15,5,31,25,36,38,22,14,31,16,20,22,30,31,20,16,18,26,17,23,32,21,20,25,12,11,11,5,24,8,30,14,22,14,32,22,17,16,22,23,20,7,31,30,30,20,20,27,22,21,14,9,22,18,22,28,42,24,17,34,42,34,26,16,21,14,21,17,34,22,37,37,31,8,19,25,14,12,9,16,21,33,17,15,23,34,21,23,0,23,26,25,35,20,18,30,32,38,12,25,35,38,25,31,27,6,0
37,,60,12,-,,60,1,32,17,34,31,29,11,29,15,21,37,24,26,23,11,21,15,34,21,23,29,35,34,25,9,22,28,25,28,22,29,25,19,25,41,38,31,25,30,16,43,23,31,30,16,15,19,31,34,38,24,28,26,21,23,4,24,37,42,26,12,30,25,30,25,32,20,40,21,21,30,32,37,22,27,19,31,19,13,43,52,20,9,16,20,15,23,44,41,33,43,35,17,25,54,0,10,5,39,30,38,24,21,25,32,27,19,25,32,24,17,12,16,23,12,26,24,20,15,17,18,17,12,10,30,12,24,13,14,14,40,27,33,12,27,20,39,6,24,31,32,29,15,20,25,19,22,15,28,28,28,24,40,18,27,28,49,34,33,18,20,12,23,23,33,25,34,35,38,8,29,22,16,16,12,21,30,19,17,16,20,25,25,21,0,26,24,20,25,28,20,35,41,60,13,28,31,29,33,39,23,12,1
38,,59,12,-,,59,1,35,18,43,46,28,13,23,21,27,41,16,29,23,20,10,12,27,22,21,39,32,42,25,22,18,40,36,34,24,34,37,22,18,39,33,37,43,23,29,45,20,24,26,21,19,8,35,45,40,38,29,27,18,26,1,29,48,30,26,19,27,34,37,31,34,35,37,31,30,35,34,39,23,18,19,21,22,29,46,69,37,3,19,33,24,22,33,61,47,45,32,15,24,54,0,13,9,38,25,31,23,22,18,30,15,22,24,32,25,27,11,16,22,17,25,29,16,14,18,17,9,17,9,32,13,32,13,19,12,30,27,20,19,23,32,32,11,34,43,31,25,18,33,35,11,27,17,18,25,25,24,38,42,28,16,42,30,18,14,21,23,27,17,28,22,39,44,27,13,23,21,18,23,10,17,18,31,19,25,21,18,25,21,0,27,36,33,30,35,19,27,60,61,12,30,52,33,17,33,31,9,1
39,,58,12,-,,58,1,39,13,41,45,26,11,27,15,26,33,20,27,28,16,20,10,40,30,13,30,29,40,18,14,20,30,33,32,23,33,30,16,25,40,31,27,28,29,21,31,23,28,28,8,23,12,31,50,37,26,33,22,26,20,2,26,38,37,18,13,38,17,38,34,36,27,46,23,21,33,42,35,27,26,26,27,25,35,35,55,30,4,13,19,19,22,30,36,44,42,26,18,36,69,0,22,6,48,34,29,24,28,34,23,23,20,34,28,40,23,16,18,21,7,24,20,23,18,19,20,9,8,10,27,17,28,7,23,27,28,27,28,13,22,31,29,10,29,42,40,24,20,21,30,19,15,16,23,19,21,19,42,30,24,26,48,39,23,22,22,29,28,18,37,35,23,30,25,12,27,27,11,18,12,24,19,30,14,25,23,22,31,26,0,21,20,23,30,28,19,21,36,67,21,33,55,34,20,33,27,10,1
40,,57,12,-,,57,1,41,14,42,42,37,8,28,13,25,34,14,31,20,15,20,19,38,14,21,25,31,22,24,12,23,30,24,37,27,19,21,14,21,32,23,26,25,31,30,32,22,37,24,15,25,11,31,33,31,30,26,26,26,28,0,33,44,32,27,13,30,24,40,32,34,30,31,34,22,22,33,31,22,20,19,20,25,22,37,53,23,3,17,13,12,25,25,53,46,63,26,18,27,55,0,20,6,45,30,42,33,26,36,36,15,15,28,33,21,16,14,21,29,22,21,25,22,21,25,14,15,16,11,27,10,37,14,17,18,42,24,25,14,15,34,32,12,33,31,33,22,20,16,29,21,27,21,25,24,26,41,32,29,23,24,44,32,38,21,26,20,33,18,33,19,29,41,22,15,38,25,25,27,9,12,20,26,18,15,31,27,22,27,0,18,29,12,25,34,15,28,54,58,16,38,37,31,24,33,24,10,0
41,,56,12,-,,56,1,43,13,39,33,42,6,29,14,15,29,19,33,28,11,11,15,35,18,18,30,36,34,20,17,21,38,36,29,14,41,31,18,17,42,29,33,21,33,27,37,28,32,19,13,17,15,33,39,35,27,24,25,19,24,3,29,33,29,32,9,22,26,33,18,27,24,25,30,21,20,38,33,26,24,21,25,22,24,34,60,28,0,23,20,13,20,30,45,38,64,30,19,22,56,0,24,3,43,32,37,38,32,30,23,22,25,29,25,22,22,21,12,28,11,27,26,14,23,27,21,12,16,13,22,10,27,6,19,17,36,23,29,13,21,33,18,13,29,22,29,23,18,19,25,19,38,17,26,22,36,28,47,31,16,24,43,42,18,26,24,28,21,20,23,23,32,35,34,10,29,24,15,22,12,17,13,26,22,26,31,33,26,32,0,23,31,27,32,36,10,29,36,52,13,40,38,19,22,47,36,6,1
42,,55,12,-,,55,1,37,16,53,38,33,6,24,17,17,41,19,18,17,23,16,20,41,17,23,28,26,33,33,12,26,25,41,29,25,28,24,17,17,37,26,23,18,25,21,24,19,17,21,22,25,20,30,49,37,26,30,16,29,23,0,37,38,31,26,30,30,21,41,27,31,26,29,35,28,25,25,33,16,10,21,31,30,26,33,56,31,2,20,15,16,20,36,52,41,45,32,15,25,70,0,22,4,33,34,35,28,24,31,25,20,22,32,31,23,25,9,30,17,7,21,21,18,15,21,21,14,12,15,28,13,19,14,16,16,23,21,32,19,25,31,33,11,43,22,39,36,11,20,30,26,26,23,32,23,19,34,30,22,22,17,48,43,20,16,19,24,40,20,31,20,28,37,29,15,34,37,19,22,18,16,16,25,26,28,37,32,18,29,0,30,36,28,27,26,25,30,32,47,19,50,38,47,23,30,30,11,0
